,Time,Headlines,sia_compound,sia_negative,sia_neutral,sia_positive,fb_positive,fb_negative,fb_neutral
0,2020-07-17,Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush,0.4404,0.0,0.791,0.209,0.31188270449638367,0.00900218915194273,0.6791151165962219
1,2020-07-17,Cramer's lightning round: I would own Teradyne,0.0,0.0,1.0,0.0,0.0513920933008194,0.014490878209471703,0.9341170191764832
2,2020-07-17,"Cramer's week ahead: Big week for earnings, even bigger week for vaccines",0.0,0.0,1.0,0.0,0.3349820375442505,0.06026485562324524,0.6047531366348267
3,2020-07-17,IQ Capital CEO Keith Bliss says tech and healthcare will rally,0.5719,0.0,0.73,0.27,0.8564686179161072,0.007206066511571407,0.1363253891468048
4,2020-07-16,"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says",0.0,0.0,1.0,0.0,0.8978062868118286,0.025695426389575005,0.07649826258420944
5,2020-07-16,Cramer's lightning round: I would just stay long Wex,0.0,0.0,1.0,0.0,0.06350318342447281,0.06673476099967957,0.8697620630264282
6,2020-07-16,Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding',0.0,0.0,1.0,0.0,0.1331610381603241,0.011446426622569561,0.8553925156593323
7,2020-07-16,Dividend cuts may mean rethinking your retirement income strategy,-0.296,0.216,0.784,0.0,0.017848176881670952,0.8707724213600159,0.11137934774160385
8,2020-07-15,"StockX has authenticated 1 million Jordan sneakers this year, CEO says",0.0,0.0,1.0,0.0,0.15508055686950684,0.010267113335430622,0.834652304649353
9,2020-07-15,Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug,0.0,0.0,1.0,0.0,0.7977973222732544,0.03031781315803528,0.17188489437103271
10,2020-07-15,Cramer's lightning round: I like Beyond Meat,0.3612,0.0,0.667,0.333,0.08678750693798065,0.020726436749100685,0.8924860954284668
11,2020-07-15,"Cramer: We desperately need another round of federal stimulus, despite vaccine progress",-0.6036,0.33,0.67,0.0,0.8853470087051392,0.04927936568856239,0.06537359952926636
12,2020-07-14,Cramer's lightning round: Buy more VMware,0.0,0.0,1.0,0.0,0.3411755859851837,0.01009279303252697,0.6487316489219666
13,2020-07-14,"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says",0.0,0.0,1.0,0.0,0.10142317414283752,0.165196493268013,0.7333803176879883
14,2020-07-14,"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns",-0.296,0.176,0.824,0.0,0.008775223977863789,0.9602922797203064,0.030932553112506866
15,2020-07-13,Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks,-0.6249,0.255,0.745,0.0,0.16359451413154602,0.026209991425275803,0.8101955056190491
16,2020-07-13,"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says",0.4939,0.134,0.567,0.299,0.4824029803276062,0.016500206664204597,0.5010968446731567
17,2020-07-13,Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession',-0.6249,0.313,0.687,0.0,0.015176654793322086,0.9574759006500244,0.027347445487976074
18,2020-07-13,Cramer's lightning round: Zoom's pullback is a buying opportunity,0.4215,0.0,0.714,0.286,0.11300118267536163,0.01635715551674366,0.8706416487693787
19,2020-07-13,"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'",-0.5106,0.231,0.769,0.0,0.012120417319238186,0.9564796686172485,0.03139987587928772
20,2020-07-07,Stay invested in US markets for the next two years: Strategist,0.0,0.0,1.0,0.0,0.07311558723449707,0.015675649046897888,0.9112087488174438
21,2020-07-06,DBS sees signs of a 'healthy' US market rally,0.0,0.0,1.0,0.0,0.956104576587677,0.01787552237510681,0.026019921526312828
22,2020-07-02,Aggressive policy bolstering markets: Hirtle Callaghan,-0.1531,0.242,0.758,0.0,0.8164535760879517,0.012027201242744923,0.1715192049741745
23,2020-07-02,"Cramer's week ahead: Big business is bouncing back, and bouncing back with a vengeance",0.0,0.0,1.0,0.0,0.8463728427886963,0.0220646969974041,0.13156235218048096
24,2020-07-02,Cramer's lightning round: I don't like Archer-Daniels-Midland Co,-0.2755,0.26,0.74,0.0,0.04646160826086998,0.2987675964832306,0.6547707319259644
25,2020-07-02,Sustainable produce supplier Apeel lands deal with Wakefern grocery stores,0.0,0.0,1.0,0.0,0.6809794306755066,0.02145020291209221,0.2975704073905945
26,2020-07-01,Jim Cramer deciphers the speculative and blue-chip stocks driving the market,0.1027,0.0,0.877,0.123,0.045323338359594345,0.08204668015241623,0.8726300001144409
27,2020-07-01,Cramer's lightning round: BlackRock is a buy,0.0,0.0,1.0,0.0,0.1609095185995102,0.014975941739976406,0.8241145014762878
28,2020-07-01,"The S&P 500 'could get ugly' in the near future, Jim Cramer warns",-0.5719,0.299,0.701,0.0,0.010847005061805248,0.9472744464874268,0.04187846928834915
29,2020-06-30,Conagra CEO on revamping Mrs. Butterworth's brand: 'Perception is reality',0.0,0.0,1.0,0.0,0.205321803689003,0.011567054316401482,0.7831110954284668
30,2020-06-30,Cramer's lightning round: Nokia has 'good things coming',0.4404,0.0,0.707,0.293,0.7531026601791382,0.01552607025951147,0.231371209025383
31,2020-06-30,Jim Cramer breaks down his favorite stocks from a record second quarter,0.4588,0.0,0.769,0.231,0.03783969208598137,0.8470705151557922,0.11508969962596893
32,2020-06-29,Jim Cramer: We saw a lot of 'encouraging signs' in Monday's session,0.5267,0.0,0.746,0.254,0.9303185343742371,0.026782505214214325,0.042898908257484436
33,2020-06-29,Cramer's lightning round: James Taiclet will make Lockheed Martin some money,0.0,0.0,1.0,0.0,0.27537137269973755,0.009469672106206417,0.7151588797569275
34,2020-06-29,Restaurant Brands CEO: Popeyes' chicken sandwich has had an unprecedented impact on business,0.0,0.0,1.0,0.0,0.17832165956497192,0.1051190197467804,0.7165592908859253
35,2020-06-29,"Cramer adds new stocks, recommends buying 12 laggards in his Covid-19 index",0.2263,0.0,0.853,0.147,0.13317367434501648,0.017178256064653397,0.849648118019104
36,2020-06-25,Marc Benioff says 35 states are now using Salesforce's contact tracing technology for coronavirus,0.0,0.0,1.0,0.0,0.10173974931240082,0.009610800072550774,0.8886494040489197
37,2020-06-25,Cramer's lightning round: Stay in Yeti,0.0,0.0,1.0,0.0,0.1314140409231186,0.04080890119075775,0.8277770280838013
38,2020-06-25,"The stay-at-home stocks surged as Texas paused reopening, Jim Cramer says",0.0,0.0,1.0,0.0,0.7944802045822144,0.06768304109573364,0.1378367841243744
39,2020-06-24,"The Awaken America trade has taken a turn for the worse, Jim Cramer warns",-0.5423,0.29,0.71,0.0,0.009880278259515762,0.959457278251648,0.030662380158901215
40,2020-06-24,Cramer's lightning round: Buy Ulta Beauty,0.5859,0.0,0.568,0.432,0.10904226452112198,0.011073405854403973,0.8798843622207642
41,2020-06-24,Rhode Island governor mulls restrictions on travelers from coronavirus hotspot states,0.0,0.0,1.0,0.0,0.01754336804151535,0.8058981895446777,0.1765584647655487
42,2020-06-26,"Albertsons stock is worth buying at $25 after it IPOs, Jim Cramer says",0.2263,0.0,0.863,0.137,0.12289420515298843,0.009489531628787518,0.8676161766052246
43,2020-06-24,"The U.S. recovery might not be V-shaped, but 'more like a square-root sign': Blackstone",0.5704,0.0,0.765,0.235,0.050173696130514145,0.04895715042948723,0.9008691310882568
44,2020-06-23,We expect a U-shaped economic recovery: Strategist,0.0,0.0,1.0,0.0,0.5544395446777344,0.023263070732355118,0.4222973585128784
45,2020-06-23,Jim Cramer says playing Larry Williams' Fourth of July trade 'makes a lot of sense',0.2023,0.0,0.878,0.122,0.24525515735149384,0.019011128693819046,0.7357337474822998
46,2020-06-23,Cramer's lightning round: Two thumbs up for AstraZeneca,0.0,0.0,1.0,0.0,0.26400354504585266,0.013745968230068684,0.7222505807876587
47,2020-06-23,Impossible Foods CEO says the meat industry will be obsolete in 15 years — 'That's our mission',-0.296,0.128,0.872,0.0,0.09170619398355484,0.11491566151380539,0.7933781743049622
48,2020-06-22,"Spotify's story is starting to mirror Netflix's, Jim Cramer says",0.0,0.0,1.0,0.0,0.20768633484840393,0.011365843936800957,0.7809478044509888
49,2020-06-22,"Recession and recovery stocks are working, but the trend is not sustainable, Jim Cramer says",-0.2263,0.119,0.881,0.0,0.21215656399726868,0.7233627438545227,0.06448066979646683
50,2020-06-22,Barstool's Dave Portnoy says he'll focus on sports betting when sports return,0.0,0.0,1.0,0.0,0.059823114424943924,0.012876216322183609,0.9273006916046143
51,2020-06-22,Cramer's lightning round: Caterpillar needs an acceleration of our economy,0.0,0.0,1.0,0.0,0.5933405160903931,0.014482309110462666,0.39217710494995117
52,2020-06-21,Nielsen CEO explains why he took on the additional role of chief diversity officer,0.0,0.0,1.0,0.0,0.05348775535821915,0.01814664714038372,0.9283656477928162
53,2020-06-18,"Charts suggest new highs 'could be on the table' for the S&P 500, Jim Cramer says",0.0,0.0,1.0,0.0,0.8239983320236206,0.0988595262169838,0.07714209705591202
54,2020-06-18,Cramer's lightning round: A patient person can wait for GE to payoff,0.0,0.0,1.0,0.0,0.05701349303126335,0.03175253048539162,0.9112340211868286
55,2020-06-18,Jim Cramer: 10 bull markets on Wall Street and the stocks leading the way,0.0,0.0,1.0,0.0,0.08717848360538483,0.026858553290367126,0.8859630227088928
56,2020-06-17,Cramer's lightning round: STMicroelectronics is a 'very good company',0.4927,0.0,0.687,0.313,0.8863318562507629,0.008287562057375908,0.10538063198328018
57,2020-06-17,Union Pacific CEO sees 'signs of optimism' in multiple markets as economy recovers,0.5423,0.0,0.774,0.226,0.9504356980323792,0.01918189600110054,0.030382368713617325
58,2020-06-17,"Royal Pharma came public in a 'golden age of medical research,' Jim Cramer says",0.0,0.0,1.0,0.0,0.5767041444778442,0.014110278338193893,0.409185528755188
59,2020-06-17,Cramer advises investors to continue investing based on the 'new normal',0.0,0.0,1.0,0.0,0.1711246371269226,0.009825680404901505,0.8190496563911438
60,2020-06-16,"Cramer channels Wall Street legend Martin Zweig: 'Don't fight the tape, don't fight the Fed'",0.5216,0.0,0.749,0.251,0.0859844759106636,0.04996121674776077,0.864054262638092
61,2020-06-16,Cramer reacts to Trump administration's potential $1 trillion infrastructure proposal,0.0,0.0,1.0,0.0,0.12227357178926468,0.0361141599714756,0.8416122794151306
62,2020-06-16,Cramer's lightning round: Let's buy some Pinterest,0.0,0.0,1.0,0.0,0.06012187898159027,0.021088644862174988,0.9187893867492676
63,2020-06-16,Canopy Growth CEO expects weed will be legalized federally by 2022,0.3818,0.0,0.794,0.206,0.25694167613983154,0.007722963113337755,0.7353353500366211
64,2020-06-15,"Campbell Soup CEO says June pantry sales are unusually high, despite reopening economy",0.0,0.0,1.0,0.0,0.6202706098556519,0.3302951455116272,0.049434270709753036
65,2020-06-15,Cramer's lightning round: Virgin Galactic is 'too dangerous a game for me',-0.4767,0.237,0.763,0.0,0.035322483628988266,0.5024058818817139,0.4622715711593628
66,2020-06-15,Jim Cramer: Investors concerned about spiking coronavirus cases should buy these stocks,0.0,0.0,1.0,0.0,0.10391964763402939,0.026060592383146286,0.870019793510437
67,2020-06-12,Cramer recommends buying these 17 cloud stocks based on the 'Rule of 40',0.2263,0.0,0.863,0.137,0.07914814352989197,0.010426005348563194,0.9104258418083191
68,2020-06-12,Cramer's week ahead: This is the 'most overbought market in history',0.0,0.0,1.0,0.0,0.16400563716888428,0.26664823293685913,0.5693461894989014
69,2020-06-12,Centene CEO calls for better education for at-risk youth as one solution to racial disparities,0.6369,0.0,0.714,0.286,0.5516441464424133,0.016025682911276817,0.4323301613330841
70,2020-06-12,Cramer's lightning round: Alibaba is the only Chinese stock I recommend,0.3612,0.0,0.783,0.217,0.05323725938796997,0.017550906166434288,0.9292117953300476
71,2020-06-11,Pullback on Nasdaq a good opportunity to join the uptrend: Daryl Guppy,0.7845,0.0,0.503,0.497,0.21929968893527985,0.03256378695368767,0.7481365203857422
72,2020-06-11,'The threats are becoming higher' — L3Harris CEO says tech is driving the future of warfare,-0.6124,0.278,0.722,0.0,0.3707278072834015,0.04529901593923569,0.583973228931427
73,2020-06-11,"CEO of Tommy Hilfiger owner vows to 'do better' on corporate diversity, social justice",0.743,0.0,0.656,0.344,0.3939392864704132,0.017294811084866524,0.5887659788131714
74,2020-06-11,Cramer's lightning round: I don't want anything to do with a real estate development company,-0.0572,0.092,0.908,0.0,0.025377513840794563,0.04690176248550415,0.9277206659317017
75,2020-06-12,Cramer recommends buying these stocks after Thursday's brutal rout,-0.4939,0.315,0.538,0.146,0.20139436423778534,0.013115592300891876,0.7854900360107422
76,2020-06-10,Cramer's lightning round: Cloudflare is good,0.4404,0.0,0.633,0.367,0.4949726164340973,0.01639193668961525,0.48863542079925537
77,2020-06-10,"Wall Street can't rally much higher without a coronavirus vaccine, Jim Cramer warns",-0.1027,0.113,0.887,0.0,0.2034599930047989,0.045592665672302246,0.7509474158287048
78,2020-06-10,"Polaris has a 'once-in-a-generation opportunity,' Jim Cramer says",0.0,0.0,1.0,0.0,0.8510960936546326,0.006662737112492323,0.14224110543727875
79,2020-06-09,"Hertz's stock may look cheap, but Cramer cautions against buying it",0.0,0.0,1.0,0.0,0.10635347664356232,0.033625148236751556,0.8600213527679443
80,2020-06-09,Cramer's lightning round: General Mills and Axon Enterprise are worth a buy,0.2263,0.0,0.84,0.16,0.6678290963172913,0.011296985670924187,0.320873886346817
81,2020-06-09,Cramer urges investors to be wary of airline and cruise stocks — buy these 5 winners instead,0.4767,0.0,0.819,0.181,0.11585822701454163,0.019417807459831238,0.8647239804267883
82,2020-06-09,Markets could go even higher in this liquidity-driven rally: Professor,0.0,0.0,1.0,0.0,0.8833690881729126,0.019931524991989136,0.09669937193393707
83,2020-06-08,Expect the Fed to continue to provide support to propel economy: Strategist,0.4019,0.0,0.803,0.197,0.6369539499282837,0.01339418813586235,0.34965190291404724
84,2020-06-08,Cramer's lightning round: Software maker Ping Identity is a buy,0.0,0.0,1.0,0.0,0.13279256224632263,0.017491331323981285,0.849716067314148
85,2020-06-08,Cramer: These are the stocks that helped power the Nasdaq to a record high during the pandemic,0.0,0.0,1.0,0.0,0.1379512995481491,0.01881950907409191,0.8432292342185974
86,2020-06-08,CEO of Airstream maker says new people are seeing benefits of traveling by RV during pandemic,0.3818,0.0,0.852,0.148,0.8443679213523865,0.008738248609006405,0.14689378440380096
87,2020-06-05,Most global indexes have surpassed our 12-month targets: CIO,0.0,0.0,1.0,0.0,0.9382498860359192,0.015192735008895397,0.046557292342185974
88,2020-06-04,"The future of commerce needs more diverse voices, Shopify COO says",0.0,0.0,1.0,0.0,0.22407564520835876,0.008836976252496243,0.7670873403549194
89,2020-06-04,Cramer's lightning round: Macy's stock can go higher,0.0,0.0,1.0,0.0,0.2943134903907776,0.016546623781323433,0.6891398429870605
90,2020-06-04,Jim Cramer: The pandemic led to 'one of the greatest wealth transfers in history',0.8126,0.0,0.619,0.381,0.7660778760910034,0.04150908812880516,0.19241292774677277
91,2020-06-04,Nancy Pelosi calls for 'very strong' change in response to nationwide unrest,0.5563,0.0,0.754,0.246,0.8591317534446716,0.014754432253539562,0.1261138617992401
92,2020-06-04,We stand behind our 3400 target for S&P 500 by Q1 2021: BMO Capital Markets,0.0,0.0,1.0,0.0,0.3684188723564148,0.24732822179794312,0.3842529356479645
93,2020-06-03,Crowdstrike CEO explains how the future of remote work and security will look,0.34,0.0,0.833,0.167,0.05309656262397766,0.01805858500301838,0.9288448691368103
94,2020-06-03,Cramer's lightning round: Microsoft fits the pattern of what this market wants,0.0,0.0,1.0,0.0,0.13539563119411469,0.011720610782504082,0.8528837561607361
95,2020-06-03,Jim Cramer: Investors are rotating into and out of these stocks,0.0,0.0,1.0,0.0,0.04635343700647354,0.5136235952377319,0.4400230050086975
96,2020-06-02,"China is the 'first leading indicator' of a rebound in autos, Marvell Tech CEO says",0.0,0.0,1.0,0.0,0.9481139779090881,0.015331077389419079,0.03655505180358887
97,2020-06-03,Cramer's lightning round: I'm starting to warm up again to Wells Fargo,0.4404,0.0,0.719,0.281,0.82256019115448,0.016810426488518715,0.16062933206558228
98,2020-06-02,"China and Europe 'bailed our stock market out,' Jim Cramer says",0.0,0.0,1.0,0.0,0.9273226261138916,0.03618617355823517,0.03649114817380905
99,2020-06-02,"Camping and RV stocks are 'back in a big way,' Jim Cramer says",0.0,0.0,1.0,0.0,0.9257805943489075,0.04311584681272507,0.031103556975722313
100,2020-06-01,Chipotle CEO on stores damaged in protests: 'We can patch up and fix',-0.5859,0.304,0.696,0.0,0.14868587255477905,0.7615965008735657,0.08971761167049408
101,2020-06-02,Jim Cramer on Wall Street's relation to George Floyd protests: 'The market has no conscience',-0.4767,0.24,0.76,0.0,0.051158830523490906,0.2298121601343155,0.7190290093421936
102,2020-06-02,Cramer's lightning round: Harley-Davidson is not a buy,0.0,0.0,1.0,0.0,0.03800385445356369,0.04072205722332001,0.9212741255760193
103,2020-05-29,Cramer's lightning round: Cognex manufactures in America and should be celebrated,0.5719,0.0,0.73,0.27,0.26973026990890503,0.007761719636619091,0.7225079536437988
104,2020-05-29,"Salesforce and Costco are flashing buy signals to investors, Jim Cramer says",0.0,0.0,1.0,0.0,0.12046206742525101,0.01898796111345291,0.8605499267578125
105,2020-05-29,Cramer's week ahead: This is a bad time for a trade war,-0.8126,0.481,0.519,0.0,0.009565039537847042,0.9483357071876526,0.04209920018911362
106,2020-05-29,It's a good time to take profits from the US stock market: Analyst,0.7003,0.0,0.633,0.367,0.20353899896144867,0.013532999902963638,0.782927930355072
107,2020-05-29,Cramer's lightning round: Buy AMD over Intel,0.0,0.0,1.0,0.0,0.11109480261802673,0.012522336095571518,0.8763828873634338
108,2020-05-29,"Jim Cramer says market still in for a 'rough ride,' suggests sticking with remote tech stocks",0.0,0.0,1.0,0.0,0.061954814940690994,0.6711289286613464,0.26691630482673645
109,2020-05-28,Marc Benioff: Salesforce's deal with AT&T is one of the 'largest transactions we've ever done',0.0,0.0,1.0,0.0,0.481609046459198,0.018475161865353584,0.49991583824157715
110,2020-05-27,"HP CEO commits to company's buyback program, says stock is 'undervalued'",0.0258,0.0,0.901,0.099,0.07383737713098526,0.8431984782218933,0.08296419680118561
111,2020-05-27,Cramer's lightning round: Waste Management is a buy,-0.4215,0.318,0.682,0.0,0.07929065823554993,0.017807645723223686,0.9029017090797424
112,2020-05-27,'I think they're confused' — Jim Cramer says bull investors have one thing wrong about the economy,-0.6597,0.278,0.722,0.0,0.044265393167734146,0.7139553427696228,0.24177922308444977
113,2020-05-26,Corteva Agriscience expects mid-Michigan floods to have a 'minimal impact' on revenue,0.0,0.0,1.0,0.0,0.6623977422714233,0.08554279059171677,0.2520594298839569
114,2020-05-26,Jim Cramer reveals what stocks to own if betting on a V-shaped recovery,0.0,0.0,1.0,0.0,0.0338297002017498,0.021222034469246864,0.9449482560157776
115,2020-05-26,Cramer's lightning round: Canopy is 'most legit' of the cannabis stocks,0.0,0.0,1.0,0.0,0.34043723344802856,0.013154691085219383,0.6464080810546875
116,2020-05-26,Jim Cramer shakes up his Cramer Covid-19 Index: Wall Street is 'more confident' about a recovery,0.5413,0.0,0.8,0.2,0.6787824034690857,0.07528731226921082,0.24593032896518707
117,2020-05-21,"Target saw strength in April 'across our entire portfolio,' CEO Brian Cornell says",0.4939,0.0,0.789,0.211,0.9520500302314758,0.02048698253929615,0.027462990954518318
118,2020-05-21,"Shelter-in-place will have a 'lasting impact on consumer behavior,' Jim Cramer says",0.0,0.0,1.0,0.0,0.20429135859012604,0.023113243281841278,0.7725954651832581
119,2020-05-21,Cramer's lightning round: I prefer Tesla to Ford,0.0,0.0,1.0,0.0,0.06634616106748581,0.017695199698209763,0.9159587025642395
120,2020-05-21,'Wall Street doesn't like ad hominem' — Jim Cramer warns of renewed U.S.-China tensions,-0.6381,0.383,0.617,0.0,0.021081335842609406,0.9335494041442871,0.045369189232587814
121,2020-05-20,Cramer's lightning round: Consolidation is a 'positive' for Citrix Systems,0.0,0.0,1.0,0.0,0.9471095204353333,0.012810345739126205,0.04008008539676666
122,2020-05-20,"FAANG emerges as the latest group to lead the market, Jim Cramer says",0.0,0.0,1.0,0.0,0.1934812217950821,0.007236740086227655,0.7992821335792542
123,2020-05-20,Lowe's to support reopening minority businesses with $25 million in grants,0.5574,0.0,0.662,0.338,0.8457470536231995,0.00811799056828022,0.14613501727581024
124,2020-05-20,Small and mid-cap equities are more reflective of the real U.S. economy: Wells Fargo,0.25,0.0,0.867,0.133,0.07152049988508224,0.023342274129390717,0.9051371812820435
